id,name,releasedate,duration,directorid,producerid,writerid,imdb,budget,collection,certification,score
tt1568346,"The Girl with the Dragon Tattoo","21 December 2011 ","2h 38min",/name/nm0000399?ref_=tt_ov_dr,/company/co0071509?ref_=cons_tt_dt_co_1,/name/nm0001873?ref_=tt_ov_wr,7.8,"$90,000,000","$12,750,000",(Banned),0.0000
tt1568911,"War Horse","10 February 2012 ","2h 26min",/name/nm0000229?ref_=tt_ov_dr,/company/co0040938?ref_=cons_tt_dt_co_1,/name/nm0355822?ref_=tt_ov_wr,7.2,"$66,000,000","$7,512,000",U,0.0000
tt1570728,"Crazy, Stupid, Love.","16 September 2011 ","1h 58min",/name/nm0275629?ref_=tt_ov_dr,/company/co0259041?ref_=cons_tt_dt_co_1,/name/nm1557594?ref_=tt_ov_wr,7.4,"$50,000,000","$19,104,303",A,0.0000
tt1572315,"Texas Chainsaw 3D","19 April 2013 ","1h 32min",/name/nm0525141?ref_=tt_ov_dr,/company/co0173285?ref_=cons_tt_dt_co_1,/name/nm0546057?ref_=tt_ov_wr,4.8,"$20,000,000","$21,744,470",A,0.0000
tt1578275,"The Dilemma","14 January 2011 ","1h 51min",/name/nm0000165?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm1615610?ref_=tt_ov_wr,5.3,"$70,000,000","$17,816,230","Rated PG-13 for mature thematic elements involving sexual content",0.0000
tt1583420,"Larry Crowne","8 July 2011 ","1h 38min",/name/nm0000158?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm0000158?ref_=tt_ov_wr,6.1,"$30,000,000","$13,006,875","Rated PG-13 for brief strong language and some sexual content",0.0000
tt1583421,"G.I. Joe: Retaliation","28 March 2013 ","1h 50min",/name/nm0160840?ref_=tt_ov_dr,/company/co0023400?ref_=cons_tt_dt_co_1,/name/nm1014201?ref_=tt_ov_wr,5.8,"$130,000,000","$40,501,814",UA,0.0000
tt1587310,Maleficent,"30 May 2014 ","1h 37min",/name/nm0834902?ref_=tt_ov_dr,/company/co0268489?ref_=cons_tt_dt_co_1,/name/nm0941314?ref_=tt_ov_wr,7.0,"$180,000,000","$69,431,298",U,0.0000
tt1588173,"Warm Bodies","14 March 2013 ","1h 38min",/name/nm1349522?ref_=tt_ov_dr,/company/co0046206?ref_=cons_tt_dt_co_1,/name/nm3772853?ref_=tt_ov_wr,6.9,"$35,000,000","$20,353,967","Rated PG-13 for zombie violence and some language",0.0000
tt1591095,Insidious,"1 April 2011 ","1h 43min",/name/nm1490123?ref_=tt_ov_dr,/company/co0088974?ref_=cons_tt_dt_co_1,/name/nm1191481?ref_=tt_ov_wr,6.8,"$1,500,000","$13,271,464",UA,0.0000
tt1596343,"Fast Five","6 May 2011 ","2h 10min",/name/nm0510912?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm0604555?ref_=tt_ov_wr,7.3,"$125,000,000","$86,198,765","Rated PG-13 for intense sequences of violence and action, sexual content and language",0.0000
tt1596346,"Soul Surfer","8 April 2011 ","1h 52min",/name/nm0573732?ref_=tt_ov_dr,/company/co0296449?ref_=cons_tt_dt_co_1,/name/nm0573732?ref_=tt_ov_wr,7.1,"$18,000,000","$10,601,862","Rated PG for an intense accident sequence and some thematic material",0.0000
tt1596350,"This Means War","16 March 2012 ","1h 43min",/name/nm0629334?ref_=tt_ov_dr,/company/co0072775?ref_=cons_tt_dt_co_1,/name/nm0000251?ref_=tt_ov_wr,6.3,"$65,000,000","$17,405,930",A,0.0000
tt1596363,"The Big Short","22 January 2016 ","2h 10min",/name/nm0570912?ref_=tt_ov_dr,/company/co0136967?ref_=cons_tt_dt_co_1,/name/nm1017488?ref_=tt_ov_wr,7.8,"$28,000,000","$705,527","Rated R for pervasive language and some sexuality/nudity",0.0000
tt1596365,"The Woman in Black","17 February 2012 ","1h 35min",/name/nm1220140?ref_=tt_ov_dr,/company/co0285648?ref_=cons_tt_dt_co_1,/name/nm0384702?ref_=tt_ov_wr,6.4,"$17,000,000","$20,874,072","Rated PG-13 for thematic material and violence/disturbing images",0.0000
tt1598778,Contagion,"9 September 2011 ","1h 46min",/name/nm0001752?ref_=tt_ov_dr,/company/co0026840?ref_=cons_tt_dt_co_1,/name/nm1994243?ref_=tt_ov_wr,6.6,"$60,000,000","$22,403,596",U,0.0000
tt1598828,"One for the Money","27 January 2012 ","1h 31min",/name/nm1455688?ref_=tt_ov_dr,/company/co0005323?ref_=cons_tt_dt_co_1,/name/nm1995411?ref_=tt_ov_wr,5.3,"$40,000,000","$11,515,790","Rated PG-13 for violence, sexual references and language, some drug material and partial nudity",0.0000
tt1601913,"The Grey","25 May 2012 ","1h 57min",/name/nm0138620?ref_=tt_ov_dr,/company/co0342335?ref_=cons_tt_dt_co_1,/name/nm0138620?ref_=tt_ov_wr,6.8,"$25,000,000","$19,665,101",A,0.0000
tt1605630,"American Reunion","13 April 2012 ","1h 53min",/name/nm1375358?ref_=tt_ov_dr,/company/co0005073?ref_=cons_tt_dt_co_1,/name/nm1375358?ref_=tt_ov_wr,6.7,"$50,000,000","$21,514,080","Rated R for crude and sexual content throughout, nudity, language, brief drug use and teen drinking",0.0000
tt1605783,"Midnight in Paris","11 May 2011 ","1h 34min",/name/nm0000095?ref_=tt_ov_dr,/company/co0002375?ref_=cons_tt_dt_co_1,/name/nm0000095?ref_=tt_ov_wr,7.7,"$17,000,000","$599,003","Rated PG-13 for some sexual references and smoking",0.0000
tt1606378,"A Good Day to Die Hard","22 February 2013 ","1h 38min",/name/nm0601382?ref_=tt_ov_dr,/company/co0000756?ref_=cons_tt_dt_co_1,/name/nm0940790?ref_=tt_ov_wr,5.3,"$92,000,000","$24,834,845",UA,0.0000
tt1611224,"Abraham Lincoln: Vampire Hunter","13 July 2012 ","1h 45min",/name/nm0067457?ref_=tt_ov_dr,/company/co0348593?ref_=cons_tt_dt_co_1,/name/nm0334381?ref_=tt_ov_wr,5.9,"$69,000,000","$16,306,974",A,0.0000
tt1615160,"The Foreigner","30 September 2017 ","1h 53min",/name/nm0132709?ref_=tt_ov_dr,/company/co0249694?ref_=cons_tt_dt_co_1,/name/nm0545861?ref_=tt_ov_wr,7.1,"$35,000,000","$13,113,024","Rated R for violence, language and some sexual material",0.0000
tt1615918,"Alvin and the Chipmunks: Chipwrecked","23 December 2011 ","1h 27min",/name/nm0593610?ref_=tt_ov_dr,/company/co0017497?ref_=cons_tt_dt_co_1,/name/nm0008743?ref_=tt_ov_wr,4.4,"$75,000,000","$23,244,744",U,0.0000
tt1616195,"J. Edgar","20 January 2012 ","2h 17min",/name/nm0000142?ref_=tt_ov_dr,/company/co0003687?ref_=cons_tt_dt_co_1,/name/nm0085257?ref_=tt_ov_wr,6.6,"$35,000,000","$11,217,324",A,0.0000
tt1618442,"The Last Witch Hunter","23 October 2015 ","1h 46min",/name/nm0252135?ref_=tt_ov_dr,/company/co0046206?ref_=cons_tt_dt_co_1,/name/nm2309430?ref_=tt_ov_wr,6.0,"$90,000,000","$10,812,861","Rated PG-13 for sequences of fantasy violence and frightening images",0.0000
