movieid,actorid,rank
tt3183660,/name/nm0837223?ref_=tt_ov_st_sm,3
tt1211837,/name/nm1212722?ref_=tt_ov_st_sm,1
tt1211837,/name/nm0252230?ref_=tt_ov_st_sm,2
tt1211837,/name/nm1046097?ref_=tt_ov_st_sm,3
tt4846340,/name/nm0378245?ref_=tt_ov_st_sm,1
tt4846340,/name/nm0818055?ref_=tt_ov_st_sm,2
tt4846340,/name/nm1847117?ref_=tt_ov_st_sm,3
tt4196776,/name/nm0000354?ref_=tt_ov_st_sm,1
tt4196776,/name/nm0000169?ref_=tt_ov_st_sm,2
tt4196776,/name/nm2539953?ref_=tt_ov_st_sm,3
tt2660888,/name/nm1517976?ref_=tt_ov_st_sm,1
tt2660888,/name/nm0704270?ref_=tt_ov_st_sm,2
tt2660888,/name/nm0881631?ref_=tt_ov_st_sm,3
tt1679335,/name/nm0447695?ref_=tt_ov_st_sm,1
tt1679335,/name/nm0005493?ref_=tt_ov_st_sm,2
tt1679335,/name/nm0221046?ref_=tt_ov_st_sm,3
tt3783958,/name/nm0331516?ref_=tt_ov_st_sm,1
tt3783958,/name/nm1297015?ref_=tt_ov_st_sm,2
tt3783958,/name/nm1679669?ref_=tt_ov_st_sm,3
tt2267968,/name/nm0085312?ref_=tt_ov_st_sm,1
tt2267968,/name/nm0186505?ref_=tt_ov_st_sm,2
tt2267968,/name/nm0000163?ref_=tt_ov_st_sm,3
tt4972582,/name/nm0564215?ref_=tt_ov_st_sm,1
tt4972582,/name/nm5896355?ref_=tt_ov_st_sm,2
tt4972582,/name/nm4726634?ref_=tt_ov_st_sm,3
tt1289401,/name/nm0565250?ref_=tt_ov_st_sm,1
tt1289401,/name/nm1325419?ref_=tt_ov_st_sm,2
tt1289401,/name/nm0571952?ref_=tt_ov_st_sm,3
tt1489889,/name/nm0425005?ref_=tt_ov_st_sm,1
tt1489889,/name/nm0366389?ref_=tt_ov_st_sm,2
tt1489889,/name/nm0630379?ref_=tt_ov_st_sm,3
tt0918940,/name/nm0002907?ref_=tt_ov_st_sm,1
tt0918940,/name/nm4920741?ref_=tt_ov_st_sm,2
tt0918940,/name/nm7222287?ref_=tt_ov_st_sm,3
tt4651520,/name/nm0005109?ref_=tt_ov_st_sm,1
tt4651520,/name/nm1063517?ref_=tt_ov_st_sm,2
tt4651520,/name/nm0068338?ref_=tt_ov_st_sm,3
tt1985949,/name/nm0837177?ref_=tt_ov_st_sm,1
tt1985949,/name/nm1265802?ref_=tt_ov_st_sm,2
tt1985949,/name/nm1144419?ref_=tt_ov_st_sm,3
tt1628841,/name/nm2955013?ref_=tt_ov_st_sm,1
tt1628841,/name/nm0000156?ref_=tt_ov_st_sm,2
tt1628841,/name/nm0000597?ref_=tt_ov_st_sm,3
tt3065204,/name/nm0267812?ref_=tt_ov_st_sm,1
tt3065204,/name/nm0933940?ref_=tt_ov_st_sm,2
tt3065204,/name/nm4068901?ref_=tt_ov_st_sm,3
tt2543164,/name/nm0010736?ref_=tt_ov_st_sm,1
tt2543164,/name/nm0719637?ref_=tt_ov_st_sm,2
